City,Year,Domestic_Consumption,Industrial_Consumption,Commercial_Consumption,Total_Consumption
Jaipur,2017,738,1506,1980,4224
Chennai,2017,2650,1938,1742,6330
Amritsar,2018,621,1949,644,3214
Ghaziabad,2018,1423,4458,1024,6905
Srinagar,2018,507,4865,1001,6373
Bhopal,2019,1303,4313,852,6468
Vijayawada,2019,1744,4787,1237,7768
Lucknow,2017,2703,1795,1171,5669
Jaipur,2017,1750,4247,766,6763
Meerut,2019,2413,4757,386,7556
Raipur,2019,1301,1884,810,3995
Meerut,2018,744,4219,658,5621
Amritsar,2017,1634,1613,1735,4982
Guwahati,2018,2348,2346,1264,5958
Hubli,2018,949,3187,1152,5288
Ranchi,2019,2114,4896,1538,8548
Solapur,2019,1250,4112,760,6122
Coimbatore,2018,1703,1653,786,4142
Faridabad,2019,1076,2593,1376,5045
Mumbai,2018,535,4881,1376,6792
Delhi,2018,2885,1730,966,5581
Kota,2019,2635,4772,634,8041
Visakhapatnam,2018,799,2539,1710,5048
Vadodara,2017,779,1567,365,2711
Lucknow,2018,2811,1454,1879,6144
Raipur,2019,2450,1169,1938,5557
Jabalpur,2017,1532,1565,1013,4110
Rajkot,2018,1781,3512,1303,6596
Bangalore,2018,2755,4749,1583,9087
Hyderabad,2018,2510,3183,1063,6756
Rajkot,2017,545,2716,548,3809
Ludhiana,2019,2088,4469,1106,7663
Visakhapatnam,2019,509,988,1482,2979
Navi Mumbai,2017,1323,1088,1840,4251
Pune,2018,590,1588,835,3013
Faridabad,2017,2544,4531,1418,8493
Howrah,2019,550,3566,1139,5255
Howrah,2019,1060,3944,746,5750
Bhopal,2017,850,3089,1372,5311
Allahabad,2018,1875,4339,533,6747
Kanpur,2017,979,2461,1685,5125
Visakhapatnam,2019,1843,4131,484,6458
Indore,2017,556,1245,1368,3169
Kota,2019,1338,2724,487,4549
Madurai,2019,2936,4786,792,8514
Raipur,2017,1981,1717,819,4517
Delhi,2019,2185,3059,1989,7233
Mumbai,2017,1607,3135,803,5545
Indore,2018,1557,4955,549,7061
Agra,2017,1410,2027,1703,5140
Ghaziabad,2018,686,2630,727,4043
Indore,2018,2434,2944,1700,7078
Delhi,2019,830,4958,1504,7292
Vijayawada,2018,2434,1774,1111,5319
Howrah,2018,2087,1342,1798,5227
Vadodara,2018,1914,4015,1227,7156
Jodhpur,2019,2301,4666,1402,8369
Vijayawada,2017,1899,4398,1802,8099
Coimbatore,2018,985,970,566,2521
Nashik,2017,1693,4651,1973,8317
Thane,2019,1915,931,390,3236
Hubli,2018,1806,3726,669,6201
Madurai,2017,1685,3002,791,5478
Vadodara,2018,503,2612,1491,4606
Ranchi,2019,883,1629,407,2919
Ahmedabad,2018,616,913,1293,2822
Faridabad,2018,660,4159,992,5811
Hubli,2018,1593,4938,652,7183
Visakhapatnam,2017,1503,4832,721,7056
Ahmedabad,2019,1686,3257,624,5567
Amritsar,2017,2449,1997,1438,5884
Pune,2019,1803,2299,1007,5109
Guwahati,2018,2072,3381,966,6419
Indore,2019,1138,1601,513,3252
Howrah,2017,2849,2504,1289,6642
Agra,2019,1753,1529,1068,4350
Solapur,2018,1015,858,1049,2922
Dhanbad,2019,2954,4601,322,7877
Coimbatore,2017,1960,3669,962,6591
Agra,2018,638,3983,1548,6169
Meerut,2017,621,3766,1371,5758
Pune,2019,1674,4299,1150,7123
Vadodara,2019,1535,1163,1852,4550
Navi Mumbai,2019,2078,3243,1004,6325
Chandigarh,2017,2171,2836,1183,6190
Chandigarh,2017,539,1490,570,2599
Faridabad,2017,1897,3881,646,6424
Srinagar,2019,1009,1371,1535,3915
Dhanbad,2018,1000,3395,1840,6235
Chandigarh,2018,2317,2747,1780,6844
Patna,2018,737,2954,1379,5070
Hyderabad,2019,2060,3030,1726,6816
Vijayawada,2018,1661,3485,1795,6941
Patna,2017,1757,2284,1700,5741
Kota,2019,2016,1295,1272,4583
Aurangabad,2017,536,2711,1318,4565
Kota,2018,1928,2495,1730,6153
Gwalior,2017,933,2851,904,4688
Bhopal,2018,1033,3251,543,4827
Kota,2018,1500,3571,1168,6239
Bangalore,2017,2084,2992,1454,6530
Raipur,2019,1896,2666,736,5298
Faridabad,2018,1527,4990,1282,7799
Navi Mumbai,2018,1453,1723,1487,4663
Raipur,2017,2675,4415,322,7412
Jaipur,2019,947,1050,448,2445
Solapur,2018,1944,2284,1272,5500
Navi Mumbai,2019,2006,1113,1457,4576
Vasai,2019,1936,4420,1123,7479
Kanpur,2019,2768,2430,503,5701
Ludhiana,2018,2739,4644,408,7791
Delhi,2019,2549,3921,1187,7657
Raipur,2019,1911,3986,1986,7883
Srinagar,2018,1171,4777,1935,7883
Bhopal,2017,976,2333,1302,4611
Kota,2017,2341,3704,1239,7284
Ranchi,2018,2013,2788,933,5734
Navi Mumbai,2019,1438,4626,1322,7386
Guwahati,2018,1041,3110,1192,5343
Kolkata,2019,1633,3631,1981,7245
Vijayawada,2019,1385,2139,1052,4576
Kolkata,2017,2456,2028,1798,6282
Chandigarh,2017,2093,2131,1080,5304
Pune,2019,517,4337,810,5664
Lucknow,2017,1668,2923,672,5263
Bangalore,2018,617,4585,548,5750
Ranchi,2017,1575,4286,1822,7683
Ghaziabad,2018,1624,2501,1074,5199
Delhi,2018,2766,2827,339,5932
Guwahati,2017,1001,2629,541,4171
Hubli,2017,2641,1463,1783,5887
Kanpur,2018,2674,4523,968,8165
Ludhiana,2019,2608,2305,1569,6482
Bangalore,2019,2167,1235,1276,4678
Kalyan,2017,836,2541,1135,4512
Meerut,2017,1056,3575,1547,6178
Ahmedabad,2018,813,1955,1804,4572
Varanasi,2019,1473,1453,581,3507
Raipur,2018,1610,4451,1684,7745
Raipur,2019,2155,3872,446,6473
Bhopal,2019,720,4904,1271,6895
Lucknow,2017,828,3369,1672,5869
Nagpur,2018,2120,1039,716,3875
Aurangabad,2018,1201,3833,1160,6194
Srinagar,2018,1751,4489,1536,7776
Jaipur,2017,1889,2589,1543,6021
Bangalore,2018,1177,2673,1505,5355
Bhopal,2017,1264,4222,1495,6981
Mumbai,2018,2032,4626,927,7585
Rajkot,2018,910,4132,927,5969
Kanpur,2018,1391,4558,1606,7555
Varanasi,2019,2562,1457,938,4957
Madurai,2018,762,2879,1588,5229
Varanasi,2017,2716,1945,1955,6616
Srinagar,2017,1606,2865,1699,6170
Kalyan,2019,1264,1630,1437,4331
Vadodara,2018,631,1832,1987,4450
Madurai,2018,1910,1284,1183,4377
Gwalior,2017,2437,4940,1917,9294
Bhopal,2019,1174,3056,1133,5363
Vasai,2018,1268,4472,1581,7321
Lucknow,2018,1593,1574,1584,4751
Amritsar,2017,829,2993,1025,4847
Dhanbad,2019,2635,4946,865,8446
Jaipur,2018,1183,2564,1669,5416
Nagpur,2019,2697,834,1812,5343
Agra,2019,1009,849,1090,2948
Coimbatore,2017,1917,1436,1689,5042
Gwalior,2019,629,4302,607,5538
Guwahati,2018,2445,1416,535,4396
Faridabad,2019,966,1211,396,2573
Ghaziabad,2019,1899,2692,1087,5678
Howrah,2017,2658,4380,1924,8962
Amritsar,2019,1053,2210,1464,4727
Mumbai,2017,1238,1737,602,3577
Visakhapatnam,2019,1934,2189,788,4911
Allahabad,2017,1137,1721,1116,3974
Aurangabad,2018,1305,3671,1512,6488
Gwalior,2017,2013,2035,1910,5958
Lucknow,2018,2966,1562,1877,6405
Chandigarh,2019,2989,1969,309,5267
Meerut,2019,878,2038,968,3884
Delhi,2017,1933,4705,1551,8189
Hyderabad,2019,578,4795,1899,7272
Nashik,2017,1403,4168,982,6553
Chandigarh,2017,1994,4660,1672,8326
Jabalpur,2017,1832,2877,886,5595
Allahabad,2017,2417,1181,1539,5137
Jabalpur,2019,2582,1208,1722,5512
Visakhapatnam,2018,632,4899,1799,7330
Lucknow,2019,2407,1052,378,3837
Solapur,2017,1529,1956,1713,5198
Raipur,2017,2408,3205,1385,6998
Gwalior,2018,2596,1794,1896,6286
Solapur,2018,2493,1836,525,4854
Mumbai,2018,1485,1168,936,3589
Rajkot,2018,1115,3043,554,4712
Hubli,2019,987,1892,1536,4415
Solapur,2017,549,1880,1940,4369
Hyderabad,2017,1364,3049,1275,5688
Howrah,2018,2316,3811,1566,7693
Hubli,2019,2882,2417,1789,7088
Solapur,2017,626,2911,485,4022
Gwalior,2017,998,2663,1686,5347
Guwahati,2018,2774,1439,526,4739
Howrah,2018,2994,4792,1730,9516
Jabalpur,2019,1842,922,908,3672
Raipur,2018,1574,2734,1667,5975
Chandigarh,2017,1020,4577,853,6450
Kolkata,2017,1900,4497,532,6929
Chandigarh,2019,2960,2064,1209,6233
Solapur,2018,2425,4724,483,7632
Faridabad,2017,2510,4570,1899,8979
Nagpur,2017,1729,4922,1816,8467
Nashik,2018,2453,1101,1621,5175
Navi Mumbai,2017,899,2680,1357,4936
Jodhpur,2019,1573,1807,1005,4385
Allahabad,2019,2462,1013,406,3881
Raipur,2017,2160,3397,1342,6899
Rajkot,2017,1581,4810,304,6695
Agra,2017,2796,1764,939,5499
Kota,2019,2510,4951,1577,9038
Hyderabad,2019,1563,1711,1949,5223
Jodhpur,2019,2252,4457,1504,8213
Ghaziabad,2017,505,4849,648,6002
Agra,2018,1438,3110,1339,5887
Coimbatore,2019,509,3252,1118,4879
Jaipur,2018,510,1906,1542,3958
Navi Mumbai,2018,1776,1479,1693,4948
Agra,2019,1370,3337,487,5194
Mumbai,2019,1488,3827,667,5982
Ghaziabad,2017,1590,4530,1458,7578
Mumbai,2017,510,3989,1476,5975
Ghaziabad,2019,1733,4884,622,7239
Jabalpur,2017,1790,2096,875,4761
Jabalpur,2018,2558,939,1088,4585
Bangalore,2017,1530,2079,1296,4905
Bhopal,2018,574,1878,444,2896
Chennai,2019,713,2476,941,4130
Coimbatore,2018,2659,4821,627,8107
Hyderabad,2017,2152,2970,1971,7093
Jodhpur,2017,1485,4141,1979,7605
Chennai,2018,2339,2523,606,5468
Guwahati,2018,2849,3498,789,7136
Varanasi,2019,1236,4936,1959,8131
Varanasi,2018,1836,3741,1737,7314
Kanpur,2019,2709,4509,376,7594
Thane,2018,2151,3632,935,6718
Chandigarh,2017,729,4611,1477,6817
Vasai,2018,2557,1156,1146,4859
Coimbatore,2019,1659,2493,980,5132
Hubli,2018,2202,1028,979,4209
Gwalior,2019,1458,1315,523,3296
Jodhpur,2018,1513,2582,467,4562
Varanasi,2019,1556,3612,1583,6751
Raipur,2018,746,3419,392,4557
Kota,2017,2968,3140,1365,7473
Vijayawada,2019,2310,1011,887,4208
Hubli,2019,588,1278,1346,3212
Madurai,2018,887,4527,1656,7070
Meerut,2019,1071,2304,402,3777
Madurai,2018,2068,2551,561,5180
Jaipur,2017,1420,1089,599,3108
Agra,2018,2684,923,1431,5038
Chennai,2018,1679,832,1222,3733
Gwalior,2017,899,2299,721,3919
Jabalpur,2018,1302,4068,1004,6374
Kalyan,2019,2727,2282,539,5548
Hubli,2019,2738,3183,1659,7580
Thane,2018,1332,2008,555,3895
Delhi,2018,726,3605,1813,6144
Madurai,2017,2744,4531,1671,8946
Kota,2018,2158,1015,1033,4206
Rajkot,2017,961,3011,596,4568
Mumbai,2019,2947,3402,1212,7561
Bangalore,2019,1410,2090,551,4051
Vijayawada,2019,1274,2527,1463,5264
Ahmedabad,2017,1119,2313,413,3845
Lucknow,2017,735,3701,662,5098
Meerut,2018,2004,1572,687,4263
Gwalior,2018,1054,3945,1013,6012
Nashik,2017,918,3521,1789,6228
Vadodara,2018,1119,1121,543,2783
Thane,2017,2795,4783,1537,9115
Visakhapatnam,2019,1809,1243,1310,4362
Chandigarh,2018,825,1421,905,3151
Chandigarh,2017,2969,3606,1828,8403
Coimbatore,2019,1802,1568,1447,4817
Amritsar,2017,823,3087,1916,5826
Coimbatore,2017,1818,2001,1905,5724
Nagpur,2019,2243,4774,740,7757
Madurai,2019,1001,999,735,2735
Vadodara,2019,1547,2313,1288,5148
Nagpur,2017,918,3616,1515,6049
Howrah,2019,1474,1730,474,3678
Jaipur,2019,1913,4500,1552,7965
Vasai,2019,2843,3296,1965,8104
Vadodara,2019,1743,996,419,3158
Kolkata,2018,572,1360,503,2435
Ranchi,2019,1480,3722,1650,6852
Solapur,2017,1139,4962,1073,7174
Nashik,2019,864,3294,834,4992
Ludhiana,2019,1133,871,577,2581
Srinagar,2019,2695,1972,1491,6158
Amritsar,2018,1758,1791,1975,5524
Coimbatore,2019,2346,3329,1875,7550
Gwalior,2018,2088,4920,1677,8685
Vasai,2018,1600,4612,1626,7838
Patna,2018,999,4035,1109,6143
Hubli,2017,1440,1366,1956,4762
Chennai,2017,2733,1320,1418,5471
Ghaziabad,2018,1426,3955,1334,6715
Ranchi,2018,2229,1786,815,4830
Ahmedabad,2018,2403,4155,680,7238
Ranchi,2018,1924,1028,390,3342
Chennai,2019,1417,1126,466,3009
Delhi,2018,1440,3728,1468,6636
Srinagar,2018,1820,1003,1766,4589
Hyderabad,2017,2097,3545,1547,7189
Nagpur,2017,879,1715,878,3472
Ludhiana,2018,729,3402,1804,5935
Indore,2019,1618,4726,432,6776
Navi Mumbai,2019,1600,2680,1132,5412
Gwalior,2019,1381,4687,1265,7333
Lucknow,2019,1942,3303,1494,6739
Delhi,2018,2953,2173,1773,6899
Gwalior,2018,805,4281,756,5842
Chandigarh,2017,2607,1814,643,5064
Vijayawada,2019,1713,2758,1775,6246
Howrah,2018,1052,1512,1518,4082
Varanasi,2019,1379,1185,1602,4166
Solapur,2018,2002,3131,1650,6783
Allahabad,2017,2477,1034,435,3946
Ahmedabad,2018,1297,3347,447,5091
Chennai,2019,1810,2956,372,5138
Ghaziabad,2017,2107,2616,444,5167
Faridabad,2018,1085,918,335,2338
Aurangabad,2018,2603,2685,1553,6841
Kota,2017,516,4025,1303,5844
Jabalpur,2019,2175,1996,448,4619
Visakhapatnam,2019,2005,1424,1821,5250
Thane,2019,2615,4678,673,7966
Jaipur,2018,2675,4797,1345,8817
Howrah,2019,707,2983,1738,5428
Raipur,2017,1473,3311,1080,5864
Chennai,2017,2544,2241,915,5700
Gwalior,2017,1392,3936,1396,6724
Nashik,2019,977,2959,1022,4958
Vasai,2019,2580,3991,1211,7782
Varanasi,2018,531,1254,945,2730
Ghaziabad,2019,1666,4013,365,6044
Kota,2017,1356,1933,793,4082
Ludhiana,2019,2354,1986,1753,6093
Pune,2017,962,4649,1960,7571
Dhanbad,2017,2859,4485,1160,8504
Bhopal,2018,2759,4588,1112,8459
Aurangabad,2017,1924,4684,1609,8217
Jaipur,2017,2795,1591,1606,5992
Kota,2019,1154,4370,1823,7347
Ghaziabad,2019,1859,4468,518,6845
Madurai,2019,1607,1745,908,4260
Guwahati,2019,2880,2437,338,5655
Hubli,2019,1013,3675,1424,6112
Indore,2018,2379,1874,1663,5916
Coimbatore,2017,2201,3479,1557,7237
Guwahati,2018,2697,4544,1202,8443
Thane,2018,2060,1864,1247,5171
Coimbatore,2019,2216,833,1085,4134
Pune,2018,2024,1934,1113,5071
Amritsar,2019,990,2258,317,3565
Agra,2018,2850,1740,974,5564
Rajkot,2017,1122,4744,1982,7848
Chandigarh,2019,2427,4603,1377,8407
Jaipur,2018,2095,3365,997,6457
Ludhiana,2018,1810,1682,1795,5287
Bhopal,2019,572,4335,1927,6834
Jaipur,2018,1613,3874,1389,6876
Ghaziabad,2019,535,4734,1786,7055
Raipur,2017,2650,4668,1848,9166
Dhanbad,2018,1212,1814,1715,4741
Bhopal,2017,1545,4876,1056,7477
Bhopal,2017,602,2325,1385,4312
Solapur,2019,2359,3730,1541,7630
Vasai,2017,1171,2627,1461,5259
Aurangabad,2017,1424,1858,861,4143
Vijayawada,2018,2049,1587,1157,4793
Ludhiana,2019,928,2840,440,4208
Rajkot,2017,1904,1717,1873,5494
Mumbai,2019,1071,3269,1152,5492
Madurai,2018,1596,3253,891,5740
Ranchi,2017,2098,2101,828,5027
Dhanbad,2017,1100,3344,784,5228
Pune,2018,764,1637,1695,4096
Kanpur,2017,883,3677,1021,5581
Howrah,2018,695,4173,1726,6594
Raipur,2019,1634,4903,1680,8217
Bangalore,2019,2923,1604,1723,6250
Ghaziabad,2019,2972,4889,342,8203
Aurangabad,2018,1143,4930,641,6714
Howrah,2019,2189,4241,1740,8170
Dhanbad,2017,2052,2521,1552,6125
Guwahati,2017,1314,2497,1332,5143
Hyderabad,2019,2647,3818,1484,7949
Agra,2019,1389,3549,1408,6346
Visakhapatnam,2017,1834,1922,387,4143
Faridabad,2019,533,4135,1497,6165
Chennai,2019,955,899,1808,3662
Vasai,2019,2947,3253,1580,7780
Vadodara,2017,1194,2390,1861,5445
Amritsar,2018,1161,4187,417,5765
Raipur,2018,2957,4053,1606,8616
Kalyan,2018,826,3243,1241,5310
Lucknow,2017,2824,2231,943,5998
Pune,2017,1152,2162,409,3723
Dhanbad,2019,1083,2408,937,4428
Meerut,2018,1474,1798,1075,4347
Bangalore,2019,1951,1166,1084,4201
Kalyan,2017,2436,4877,1763,9076
Patna,2019,2084,4285,1771,8140
Chandigarh,2018,645,4517,1147,6309
Raipur,2017,2688,981,1589,5258
Meerut,2019,1092,3698,1043,5833
Dhanbad,2017,800,3067,846,4713
Allahabad,2017,2920,4189,640,7749
Thane,2019,2469,1701,842,5012
Dhanbad,2019,1595,3081,722,5398
Bangalore,2019,1097,1072,1743,3912
Delhi,2019,2939,1377,631,4947
Bhopal,2019,1813,4135,987,6935
Amritsar,2019,2216,3669,991,6876
Delhi,2018,2386,2748,1133,6267
Hubli,2017,2799,3962,1188,7949
Kalyan,2018,590,2743,1200,4533
Guwahati,2018,2011,1718,1719,5448
Solapur,2018,2414,3586,1534,7534
Solapur,2019,1825,4984,1762,8571
Kota,2017,2415,1618,1773,5806
Amritsar,2019,2305,2083,653,5041
Bangalore,2019,875,2756,1362,4993
Varanasi,2018,570,2943,1772,5285
Jabalpur,2017,2285,3854,779,6918
Navi Mumbai,2018,584,3642,515,4741
Agra,2019,1952,3834,669,6455
Solapur,2019,2078,2805,1363,6246
Dhanbad,2017,1276,3234,895,5405
Vadodara,2017,2251,2671,1434,6356
Kota,2017,1737,957,754,3448
Delhi,2018,1077,1074,1830,3981
Gwalior,2017,2366,3142,530,6038
Chandigarh,2019,1509,1947,338,3794
Jodhpur,2018,655,2767,802,4224
Bhopal,2017,2605,4315,1679,8599
Nashik,2017,2821,4986,1590,9397
Jabalpur,2019,2931,2345,1531,6807
Faridabad,2018,2975,1467,735,5177
Srinagar,2017,1919,2028,1891,5838
Vadodara,2017,2635,3360,586,6581
Kalyan,2019,915,1132,1430,3477
Thane,2019,1883,1259,1310,4452
Agra,2019,1394,4964,656,7014
Kolkata,2018,2797,850,841,4488
Thane,2018,735,1551,1383,3669
Bangalore,2019,855,3948,828,5631
Vasai,2018,2080,4046,1633,7759
Patna,2017,2360,3711,1379,7450
Kanpur,2018,2043,2861,377,5281
Kota,2019,1967,2667,1821,6455
Solapur,2017,1639,4133,404,6176
Kanpur,2018,1949,2928,365,5242
Ranchi,2018,708,3116,1956,5780
Lucknow,2017,1942,2114,1188,5244
Amritsar,2019,2835,2421,1075,6331
Ranchi,2018,1216,3667,578,5461
Bhopal,2018,2665,2702,435,5802
Raipur,2018,1969,1247,1330,4546
Madurai,2018,1637,4046,322,6005
Kanpur,2017,2356,1806,1483,5645
Ghaziabad,2019,999,4777,1213,6989
Aurangabad,2017,2612,3910,869,7391
Bhopal,2017,1614,2243,1316,5173
Thane,2019,578,3274,1829,5681
Agra,2019,1709,1258,1461,4428
Navi Mumbai,2018,1856,2422,928,5206
Thane,2018,2646,1828,499,4973
Vijayawada,2017,2235,4958,1505,8698
Dhanbad,2017,549,4823,490,5862
Kanpur,2018,2982,2883,1023,6888
Agra,2017,2794,2548,477,5819
Jaipur,2017,1267,1706,1485,4458
Thane,2018,642,4329,1118,6089
Chandigarh,2017,1377,4183,864,6424
Gwalior,2019,924,4100,578,5602
Srinagar,2018,1214,922,1101,3237
Aurangabad,2018,1368,4061,387,5816
Rajkot,2018,1901,4015,1216,7132
Chandigarh,2017,1765,4563,793,7121
Madurai,2019,1011,4972,1214,7197
Chandigarh,2019,730,1497,474,2701
Bhopal,2019,2727,4131,391,7249
Kolkata,2017,1817,3668,675,6160
Allahabad,2018,2705,3622,579,6906
Vijayawada,2017,947,3742,1921,6610
Bhopal,2019,2108,3976,1274,7358
Navi Mumbai,2019,2289,4732,1428,8449
Ghaziabad,2019,1931,2108,1844,5883
Vasai,2017,1630,1803,572,4005
Indore,2019,2496,4767,578,7841
Gwalior,2018,1735,2987,1145,5867
Bangalore,2019,503,2072,455,3030
Navi Mumbai,2018,2619,4152,689,7460
Ahmedabad,2019,960,4780,727,6467
Vijayawada,2017,2853,2070,776,5699
Delhi,2017,2360,2375,1447,6182
Bangalore,2017,2600,2588,797,5985
Faridabad,2017,1025,1958,1120,4103
Lucknow,2019,1674,1398,1900,4972
Hubli,2019,1700,3237,1999,6936
Raipur,2019,733,2413,524,3670
Meerut,2019,2203,3174,910,6287
Jaipur,2017,2294,2878,459,5631
Kalyan,2018,1486,2791,1410,5687
Chennai,2017,2142,1298,1175,4615
Jodhpur,2018,1498,1810,897,4205
Vijayawada,2017,663,803,1930,3396
Thane,2019,2621,4428,417,7466
Allahabad,2018,2312,3531,1278,7121
Jabalpur,2019,1053,4189,326,5568
Visakhapatnam,2018,2573,2896,1051,6520
Raipur,2019,672,2623,592,3887
Pune,2018,598,3664,614,4876
Allahabad,2018,2610,2989,912,6511
Jabalpur,2019,964,4729,1650,7343
Howrah,2019,2188,3197,1687,7072
Mumbai,2017,973,4539,1892,7404
Guwahati,2018,1620,3899,1574,7093
Raipur,2017,544,3209,571,4324
Kanpur,2019,1160,3073,779,5012
Allahabad,2017,2931,1700,789,5420
Howrah,2019,2010,3640,1935,7585
Thane,2018,2952,4103,1922,8977
Bangalore,2018,923,3417,1553,5893
Delhi,2018,1428,2865,1432,5725
Jaipur,2018,1553,4612,628,6793
Kota,2018,2180,1292,1846,5318
Vasai,2018,1474,3834,1886,7194
Visakhapatnam,2017,843,3184,1808,5835
Nagpur,2019,504,4081,1434,6019
Chennai,2017,2515,4681,674,7870
Agra,2019,1934,2206,1255,5395
Dhanbad,2019,2154,1996,708,4858
Meerut,2019,2280,2673,1257,6210
Kota,2018,1301,1834,670,3805
Bangalore,2018,900,4680,537,6117
Ludhiana,2017,2613,4248,1661,8522
Nagpur,2018,2626,1959,718,5303
Chennai,2019,2145,2272,1860,6277
Rajkot,2018,748,1029,1490,3267
Ludhiana,2019,2947,1178,1264,5389
Kota,2019,2399,4224,961,7584
Delhi,2017,1857,2418,1593,5868
Rajkot,2018,2160,4319,614,7093
Vijayawada,2017,2949,1489,746,5184
Ghaziabad,2018,1281,2232,1630,5143
Nagpur,2018,1469,3716,1033,6218
Nashik,2017,2037,1830,587,4454
Vadodara,2017,1323,4438,1044,6805
Jaipur,2019,1050,4755,1444,7249
Aurangabad,2018,733,3282,1789,5804
Chandigarh,2019,2827,1093,958,4878
Ahmedabad,2017,2844,2196,898,5938
Hyderabad,2017,2895,1925,366,5186
Bangalore,2018,2510,3209,1231,6950
Ahmedabad,2018,1324,1136,1766,4226
Visakhapatnam,2018,647,2310,755,3712
Varanasi,2018,2603,824,1620,5047
Rajkot,2018,1872,1069,1702,4643
Kanpur,2017,2449,4513,1641,8603
Meerut,2018,2162,930,1286,4378
Chandigarh,2019,1607,1097,1988,4692
Guwahati,2019,1581,2807,1753,6141
Kalyan,2017,1801,4359,1059,7219
Lucknow,2019,812,3355,1314,5481
Kota,2017,618,2089,1780,4487
Hubli,2018,1457,3364,1989,6810
Amritsar,2018,2136,2476,1202,5814
Meerut,2019,928,1200,1524,3652
Chennai,2017,606,1893,320,2819
Patna,2018,942,1808,1903,4653
Coimbatore,2019,2614,3868,1539,8021
Jaipur,2018,1725,867,1817,4409
Patna,2017,915,4846,1002,6763
Varanasi,2019,1070,2720,1553,5343
Raipur,2018,2530,3791,525,6846
Faridabad,2019,2874,3326,1670,7870
Vasai,2017,1478,3553,1677,6708
Vijayawada,2018,1028,1102,460,2590
Vadodara,2018,1799,1622,1854,5275
Srinagar,2017,2592,1285,360,4237
Coimbatore,2019,1645,1820,1499,4964
Vijayawada,2019,1539,925,361,2825
Indore,2018,2353,4988,1745,9086
Varanasi,2018,2473,2984,526,5983
Kota,2019,1925,3124,1528,6577
Jodhpur,2017,1089,3656,634,5379
Visakhapatnam,2018,2962,3700,541,7203
Kanpur,2019,1004,3379,344,4727
Thane,2017,1184,3503,1474,6161
Nagpur,2019,2841,861,1026,4728
Dhanbad,2017,1227,950,1284,3461
Ahmedabad,2019,2950,3264,854,7068
Kolkata,2019,1138,889,1690,3717
Indore,2019,773,1242,1300,3315
Lucknow,2018,2593,1448,562,4603
Kalyan,2017,1293,1810,1752,4855
Varanasi,2017,2906,3372,1894,8172
Indore,2017,1314,3028,602,4944
Guwahati,2017,2291,3791,1651,7733
Coimbatore,2018,2397,2541,1880,6818
Solapur,2019,1136,1447,1819,4402
Lucknow,2019,2304,2018,1755,6077
Navi Mumbai,2018,2779,1953,336,5068
Nashik,2019,2138,3432,974,6544
Delhi,2018,2780,4317,1309,8406
Meerut,2018,2638,1856,1581,6075
Vadodara,2017,2816,2417,1986,7219
Nagpur,2018,1005,4216,340,5561
Coimbatore,2017,685,4935,1973,7593
Patna,2019,2729,2989,1635,7353
Kota,2019,1757,4610,852,7219
Coimbatore,2017,734,4039,1622,6395
Hyderabad,2017,1083,2006,1319,4408
Patna,2017,2613,2310,1627,6550
Chandigarh,2017,1045,4482,748,6275
Dhanbad,2019,2220,1089,422,3731
Jaipur,2017,1241,4696,764,6701
Thane,2019,544,1433,1518,3495
Navi Mumbai,2017,1226,4716,1235,7177
Dhanbad,2017,2947,880,366,4193
Ahmedabad,2017,851,4733,1296,6880
Ghaziabad,2017,698,3954,442,5094
Ghaziabad,2017,998,3650,971,5619
Ghaziabad,2018,1229,2886,1412,5527
Madurai,2019,1025,2236,1407,4668
Jaipur,2019,1947,2479,1364,5790
Rajkot,2017,1662,3701,1698,7061
Hyderabad,2017,2251,907,500,3658
Raipur,2019,1092,1554,700,3346
Guwahati,2019,2354,3513,353,6220
Vijayawada,2017,1505,3128,303,4936
Guwahati,2018,1964,892,952,3808
Ghaziabad,2017,1786,2413,850,5049
Hubli,2018,2188,4599,516,7303
Coimbatore,2018,2511,2002,685,5198
Hubli,2018,2902,2721,665,6288
Allahabad,2017,2903,1326,1517,5746
Srinagar,2019,2494,3035,817,6346
Rajkot,2018,2726,3698,1912,8336
Delhi,2017,969,885,558,2412
Rajkot,2018,607,4619,995,6221
Visakhapatnam,2018,1741,4695,957,7393
Meerut,2017,2917,1026,1158,5101
Patna,2017,1557,1666,1083,4306
Hubli,2019,2866,4992,477,8335
Madurai,2017,1687,2844,1421,5952
Nashik,2019,2876,4763,1562,9201
Thane,2018,2981,3239,541,6761
Aurangabad,2019,1074,2941,1888,5903
Amritsar,2019,827,4832,929,6588
Solapur,2017,2194,3720,1156,7070
Rajkot,2017,2210,1783,1664,5657
Pune,2018,1604,3236,1827,6667
Coimbatore,2018,2109,2846,559,5514
Chennai,2017,2116,2714,841,5671
Srinagar,2018,1534,3203,1035,5772
Hyderabad,2017,768,3985,1902,6655
Nashik,2018,2354,3702,1542,7598
Meerut,2017,929,2935,1205,5069
Jabalpur,2019,2367,1451,1129,4947
Bangalore,2017,1685,2596,570,4851
Solapur,2018,2175,4331,1653,8159
Aurangabad,2017,2145,2508,454,5107
Mumbai,2019,1326,2260,1631,5217
Mumbai,2018,2787,2017,1972,6776
Ahmedabad,2019,2030,4049,1736,7815
Indore,2019,2715,1266,1336,5317
Hubli,2019,1920,4119,519,6558
Bhopal,2019,2089,828,850,3767
Mumbai,2017,553,2044,1442,4039
